----------------------------------
-         PROCESS STARTS         -
----------------------------------
2024-02-21 16:18:09.035753

Actual Temperature / SetPoint / V1 / V2
0 0 0.1145 4.3413
20.78  0.00  0.1105 4.3583
20.57  0.00  0.1178 4.3427
20.57  0.00  0.1134 4.3505
20.78  0.00  0.1283 4.3259
20.78  0.00  0.1292 4.3264
20.75  0.00  0.1301 4.3224
0.04347826086956521620.60  0.00  0.1301 4.3224
0.0652173913043478220.72  0.00  0.1145 4.3413
20.72  0.00  0.1105 4.3583
0.1086956521739130420.32  0.00  0.1178 4.3427
20.32  0.00  0.1134 4.3505
20.32  0.00  0.1283 4.3259
20.32  0.00  0.1292 4.3264
20.32  0.00  0.1301 4.3224
20.32  0.00  0.1301 4.3224
20.32  0.00  0.1301 4.3224
20.32  0.00  0.1317 4.3123
20.32  0.00  0.1248 4.3235
20.32  0.00  0.1208 4.3599
20.32  0.00  0.1255 4.3585
20.32  0.00  0.1235 4.3511
20.32  0.00  0.1248 4.3184
20.32  0.00  0.1219 4.3135
20.32  0.00  0.1216 4.3192
20.32  0.00  0.1219 4.2941
20.32  0.00  0.1235 4.3225
20.32  0.00  0.1323 4.3201
20.32  0.00  0.1293 4.316
20.32  0.00  0.135 4.317
20.32  0.00  0.1326 4.3429
20.32  0.00  0.1326 4.3141
20.32  0.00  0.1322 4.3239
20.32  0.00  0.1263 4.3171
20.32  0.00  0.121 4.3187
20.32  0.00  0.1196 4.3207
20.32  0.00  0.1251 4.3289
20.32  0.00  0.1251 4.3289
20.32  0.00  0.1317 4.3203
20.32  0.00  0.1317 4.3203
20.32  0.00  0.1337 4.3282
20.32  0.00  0.1337 4.3282
20.32  0.00  0.1339 4.3024
20.32  0.00  0.1339 4.3024
20.32  0.00  0.1306 4.308
20.32  0.00  0.1306 4.308
20.32  0.00  0.1312 4.3113
20.32  0.00  0.1251 4.3187
20.32  0.00  0.1251 4.3187
20.32  0.00  0.1244 4.3113
20.32  0.00  0.1244 4.3113
20.32  0.00  0.1245 4.3109
20.32  0.00  0.1245 4.3109
20.32  0.00  0.1216 4.3219
20.32  0.00  0.1216 4.3219
20.32  0.00  0.1268 4.3124
20.32  0.00  0.1268 4.3124
20.32  0.00  0.1296 4.3278
20.32  0.00  0.1296 4.3278
20.32  0.00  0.135 4.3243
20.32  0.00  0.135 4.3243
20.32  0.00  0.1382 4.3121
20.32  0.00  0.1382 4.3121
20.32  0.00  0.1329 4.3217
20.32  0.00  0.1329 4.3217
20.32  0.00  0.1274 4.3295
20.32  0.00  0.1274 4.3295
20.32  0.00  0.1222 4.3187
20.32  0.00  0.1222 4.3187
20.32  0.00  0.124 4.3169
20.32  0.00  0.1218 4.3195
20.32  0.00  0.1218 4.3195
20.32  0.00  0.1255 4.317
20.32  0.00  0.1255 4.317
20.32  0.00  0.1328 4.3154
20.32  0.00  0.1328 4.3154
20.32  0.00  0.1317 4.3163
20.32  0.00  0.1317 4.3163
20.32  0.00  0.1339 4.3179
20.32  0.00  0.1339 4.3179
20.32  0.00  0.1323 4.3196
20.32  0.00  0.1323 4.3196
20.63  0.00  0.1294 4.3269
20.45  0.00  0.1294 4.3269
0.1521739130434782720.72  0.00  0.1346 4.3239
0.1739130434782608620.66  0.00  0.1346 4.3239
0.2173913043478260820.60  0.00  0.1252 4.3304
20.60  0.00  0.1252 4.3304
20.60  0.00  0.1238 4.3109
20.60  0.00  0.1202 4.3152
20.60  0.00  0.1202 4.3152
20.60  0.00  0.1311 4.3187
20.60  0.00  0.1311 4.3187
20.60  0.00  0.1335 4.3152
20.60  0.00  0.1335 4.3152
20.60  0.00  0.1307 4.3196
20.60  0.00  0.1307 4.3196
20.60  0.00  0.1239 4.3346
20.60  0.00  0.1239 4.3346
20.60  0.00  0.119 4.3258
20.60  0.00  0.119 4.3258
20.60  0.00  0.127 4.3115
20.60  0.00  0.127 4.3115
20.60  0.00  0.1254 4.3198
20.60  0.00  0.1254 4.3198
20.60  0.00  0.1226 4.3149
20.60  0.00  0.1226 4.3149
20.60  0.00  0.1296 4.323
20.60  0.00  0.1296 4.323
20.60  0.00  0.1256 4.301
20.60  0.00  0.1323 4.3203
20.60  0.00  0.1323 4.3203
20.60  0.00  0.1313 4.317
20.60  0.00  0.1313 4.317
20.60  0.00  0.1331 4.3087
20.60  0.00  0.1331 4.3087
20.60  0.00  0.1302 4.3177
20.60  0.00  0.1302 4.3177
20.60  0.00  0.1245 4.3246
20.60  0.00  0.1245 4.3246
20.60  0.00  0.1198 4.3159
20.60  0.00  0.1198 4.3159
20.60  0.00  0.1185 4.3275
20.60  0.00  0.1185 4.3275
20.60  0.00  0.125 4.3146
20.60  0.00  0.125 4.3146
20.60  0.00  0.1289 4.3199
20.60  0.00  0.1289 4.3199
20.60  0.00  0.1316 4.312
20.60  0.00  0.1305 4.3104
20.60  0.00  0.1305 4.3104
20.60  0.00  0.13 4.329
20.60  0.00  0.13 4.329
20.60  0.00  0.132 4.3153
20.72  0.00  0.132 4.3153
0.260869565217391320.54  0.00  0.1238 4.2993
20.54  0.00  0.1238 4.2993
20.54  0.00  0.1238 4.3246
20.54  0.00  0.1238 4.3246
20.54  0.00  0.1232 4.3196
20.54  0.00  0.1232 4.3196
20.54  0.00  0.1202 4.3047
20.54  0.00  0.1202 4.3047
20.54  0.00  0.1241 4.3342
20.54  0.00  0.1241 4.3342
20.54  0.00  0.1273 4.312
20.54  0.00  0.1273 4.312
20.54  0.00  0.1342 4.3262
20.54  0.00  0.1357 4.3174
20.54  0.00  0.1357 4.3174
20.54  0.00  0.1327 4.3315
20.54  0.00  0.1327 4.3315
20.54  0.00  0.1282 4.3011
20.54  0.00  0.1282 4.3011
20.54  0.00  0.1261 4.3068
20.54  0.00  0.1261 4.3068
20.54  0.00  0.1244 4.3182
20.54  0.00  0.1244 4.3182
20.54  0.00  0.12 4.3242
20.54  0.00  0.12 4.3242
20.54  0.00  0.1232 4.3225
20.54  0.00  0.1232 4.3225
20.54  0.00  0.12 4.3285
20.54  0.00  0.12 4.3285
20.54  0.00  0.1284 4.3182
20.54  0.00  0.1284 4.3182
20.54  0.00  0.1305 4.3285
20.54  0.00  0.134 4.3312
20.54  0.00  0.134 4.3312
20.54  0.00  0.1353 4.3206
20.54  0.00  0.1353 4.3206
20.54  0.00  0.1315 4.3214
20.54  0.00  0.1315 4.3214
20.54  0.00  0.1268 4.3391
20.54  0.00  0.1268 4.3391
20.54  0.00  0.1222 4.3123
20.54  0.00  0.1222 4.3123
20.54  0.00  0.1204 4.3326
20.54  0.00  0.1204 4.3326
20.54  0.00  0.1226 4.2971
20.63  0.00  0.1226 4.2971
0.282608695652173920.75  0.00  0.1211 4.308
0.3043478260869565420.63  0.00  0.1293 4.3091
0.3478260869565217320.57  0.00  0.1293 4.3091
0.369565217391304320.60  0.00  0.1254 4.3158
20.60  0.00  0.1254 4.3158
20.60  0.00  0.1335 4.3191
20.60  0.00  0.1335 4.3191
20.60  0.00  0.132 4.3325
20.60  0.00  0.132 4.3325
20.60  0.00  0.131 4.3241
20.60  0.00  0.131 4.3241
20.60  0.00  0.1276 4.329
20.60  0.00  0.1276 4.329
20.60  0.00  0.1234 4.3114
20.60  0.00  0.1234 4.3114
20.60  0.00  0.1207 4.3262
20.60  0.00  0.1205 4.3248
20.60  0.00  0.1205 4.3248
20.60  0.00  0.126 4.3301
20.60  0.00  0.126 4.3301
20.60  0.00  0.1335 4.3098
20.60  0.00  0.1335 4.3098
20.60  0.00  0.1328 4.3286
20.60  0.00  0.1328 4.3286
20.60  0.00  0.1323 4.3281
20.60  0.00  0.1323 4.3281
20.60  0.00  0.1266 4.3217
20.60  0.00  0.1266 4.3217
20.60  0.00  0.125 4.3197
20.60  0.00  0.125 4.3197
20.60  0.00  0.1229 4.3208
20.60  0.00  0.1202 4.3176
20.60  0.00  0.1202 4.3176
20.60  0.00  0.1255 4.3319
20.60  0.00  0.1255 4.3319
20.60  0.00  0.1238 4.3126
20.60  0.00  0.1238 4.3126
20.60  0.00  0.1302 4.3292
20.60  0.00  0.1302 4.3292
20.60  0.00  0.1327 4.3196
20.60  0.00  0.1327 4.3196
20.60  0.00  0.1323 4.3182
20.60  0.00  0.1323 4.3182
20.60  0.00  0.1321 4.3339
20.60  0.00  0.1263 4.3279
20.60  0.00  0.1263 4.3279
20.60  0.00  0.1227 4.3223
20.60  0.00  0.1227 4.3223
20.60  0.00  0.1177 4.3085
20.60  0.00  0.1177 4.3085
20.60  0.00  0.1212 4.3237
20.60  0.00  0.1212 4.3237
20.60  0.00  0.1255 4.3314
20.60  0.00  0.1255 4.3314
20.60  0.00  0.1302 4.2979
20.60  0.00  0.1302 4.2979
20.60  0.00  0.1364 4.318
20.60  0.00  0.1324 4.3247
20.60  0.00  0.1324 4.3247
20.60  0.00  0.1322 4.3265
20.60  0.00  0.1322 4.3265
20.60  0.00  0.1287 4.3334
20.60  0.00  0.1287 4.3334
20.60  0.00  0.125 4.3171
20.60  0.00  0.125 4.3171
20.60  0.00  0.1255 4.3213
20.60  0.00  0.1255 4.3213
20.60  0.00  0.1184 4.3036
20.60  0.00  0.1233 4.3073
20.60  0.00  0.1233 4.3073
20.60  0.00  0.1239 4.3109
20.60  0.00  0.1239 4.3109
20.60  0.00  0.1335 4.3103
20.60  0.00  0.1335 4.3103
20.66  0.00  0.1332 4.3018
20.78  0.00  0.1332 4.3018
0.4130434782608695720.90  0.00  0.1327 4.3387
20.90  0.00  0.1327 4.3387
20.90  0.00  0.1295 4.3187
20.90  0.00  0.1295 4.3187
20.90  0.00  0.1277 4.3073
20.90  0.00  0.1244 4.3046
20.90  0.00  0.1244 4.3046
20.90  0.00  0.1217 4.3169
20.90  0.00  0.1217 4.3169
20.90  0.00  0.1216 4.3174
20.90  0.00  0.1216 4.3174
20.90  0.00  0.1271 4.3287
20.90  0.00  0.1271 4.3287
20.90  0.00  0.1239 4.3202
20.90  0.00  0.1239 4.3202
20.90  0.00  0.1302 4.3204
20.90  0.00  0.1309 4.2942
20.90  0.00  0.1309 4.2942
20.90  0.00  0.1356 4.33
20.90  0.00  0.1356 4.33
20.90  0.00  0.1343 4.3477
20.90  0.00  0.1343 4.3477
20.90  0.00  0.1317 4.3226
20.90  0.00  0.1317 4.3226
20.90  0.00  0.1216 4.3176
20.90  0.00  0.1216 4.3176
20.90  0.00  0.1196 4.3265
20.90  0.00  0.1226 4.3167
20.90  0.00  0.1226 4.3167
20.90  0.00  0.1248 4.3217
20.90  0.00  0.1248 4.3217
20.90  0.00  0.1301 4.3226
20.90  0.00  0.1301 4.3226
20.90  0.00  0.1278 4.3059
20.90  0.00  0.1278 4.3059
20.90  0.00  0.1321 4.3306
20.90  0.00  0.1321 4.3306
20.90  0.00  0.1332 4.325
20.90  0.00  0.1302 4.3315
20.90  0.00  0.1302 4.3315
20.90  0.00  0.1317 4.3116
20.90  0.00  0.1317 4.3116
20.90  0.00  0.1266 4.3225
20.90  0.00  0.1266 4.3225
20.90  0.00  0.1216 4.3281
20.90  0.00  0.1216 4.3281
20.90  0.00  0.1179 4.3224
20.90  0.00  0.1179 4.3224
20.90  0.00  0.123 4.3153
20.90  0.00  0.1283 4.3252
20.90  0.00  0.1283 4.3252
20.90  0.00  0.1312 4.3265
20.90  0.00  0.1312 4.3265
20.90  0.00  0.1359 4.3285
20.90  0.00  0.1359 4.3285
20.90  0.00  0.1312 4.3369
20.90  0.00  0.1312 4.3369
20.90  0.00  0.1298 4.3179
20.90  0.00  0.1298 4.3179
20.90  0.00  0.1281 4.3344
20.90  0.00  0.1235 4.3336
20.90  0.00  0.1235 4.3336
20.90  0.00  0.1263 4.3297
20.90  0.00  0.1263 4.3297
20.90  0.00  0.1173 4.3223
20.90  0.00  0.1173 4.3223
20.90  0.00  0.1227 4.329
20.90  0.00  0.1227 4.329
20.84  0.00  0.124 4.3428
20.81  0.00  0.1278 4.3378
0.4347826086956521620.84  0.00  0.1278 4.3378
0.478260869565217420.75  0.00  0.1332 4.3365
0.520.72  0.00  0.1332 4.3365
0.521739130434782620.87  0.00  0.1345 4.3309
20.87  0.00  0.1345 4.3309
20.87  0.00  0.1295 4.3346
20.87  0.00  0.1295 4.3346
20.87  0.00  0.127 4.3354
20.87  0.00  0.127 4.3354
20.87  0.00  0.127 4.316
20.87  0.00  0.1234 4.3337
20.87  0.00  0.1234 4.3337
20.87  0.00  0.1211 4.3455
20.87  0.00  0.1211 4.3455
20.87  0.00  0.1235 4.3241
20.87  0.00  0.1235 4.3241
20.87  0.00  0.1205 4.3286
20.87  0.00  0.1205 4.3286
20.87  0.00  0.1257 4.3354
20.87  0.00  0.1257 4.3354
20.87  0.00  0.1267 4.3407
20.87  0.00  0.1348 4.3237
20.87  0.00  0.1348 4.3237
20.87  0.00  0.1328 4.345
20.87  0.00  0.1328 4.345
20.87  0.00  0.1343 4.3324
20.87  0.00  0.1343 4.3324
20.87  0.00  0.1272 4.3329
20.87  0.00  0.1272 4.3329
20.87  0.00  0.1271 4.3379
20.87  0.00  0.1249 4.3547
20.87  0.00  0.1249 4.3547
20.87  0.00  0.1204 4.3422
20.87  0.00  0.1204 4.3422
20.87  0.00  0.1228 4.3361
20.87  0.00  0.1228 4.3361
20.87  0.00  0.1177 4.3247
20.87  0.00  0.1177 4.3247
20.87  0.00  0.1239 4.3478
20.87  0.00  0.1239 4.3478
20.87  0.00  0.1267 4.3319
20.87  0.00  0.1309 4.3444
20.87  0.00  0.1309 4.3444
20.87  0.00  0.1365 4.3442
20.87  0.00  0.1365 4.3442
20.87  0.00  0.1334 4.3491
20.87  0.00  0.1334 4.3491
20.87  0.00  0.1312 4.3358
20.81  0.00  0.1312 4.3358
0.565217391304347820.69  0.00  0.1271 4.348
20.69  0.00  0.127 4.3455
20.69  0.00  0.127 4.3455
20.69  0.00  0.1222 4.3402
20.69  0.00  0.1222 4.3402
20.69  0.00  0.1228 4.3348
20.69  0.00  0.1228 4.3348
20.69  0.00  0.1232 4.3403
20.69  0.00  0.1232 4.3403
20.69  0.00  0.1221 4.3307
20.69  0.00  0.1244 4.3448
20.69  0.00  0.1244 4.3448
20.69  0.00  0.1285 4.3373
20.69  0.00  0.1285 4.3373
20.69  0.00  0.1326 4.3497
20.69  0.00  0.1326 4.3497
20.69  0.00  0.1327 4.3402
20.69  0.00  0.1327 4.3402
20.69  0.00  0.1373 4.339
20.69  0.00  0.1302 4.3433
20.69  0.00  0.1302 4.3433
20.69  0.00  0.1307 4.3563
20.69  0.00  0.1307 4.3563
20.69  0.00  0.1276 4.3469
20.69  0.00  0.1276 4.3469
20.69  0.00  0.1212 4.3633
20.69  0.00  0.1212 4.3633
20.69  0.00  0.1252 4.3378
20.69  0.00  0.1252 4.3378
20.69  0.00  0.1177 4.3398
20.69  0.00  0.1201 4.3433
20.69  0.00  0.1201 4.3433
20.69  0.00  0.1193 4.3428
20.69  0.00  0.1193 4.3428
20.69  0.00  0.1252 4.3524
20.69  0.00  0.1252 4.3524
20.69  0.00  0.1238 4.3508
20.69  0.00  0.1238 4.3508
20.69  0.00  0.1307 4.3464
20.69  0.00  0.1278 4.3499
20.69  0.00  0.1278 4.3499
20.69  0.00  0.1334 4.3412
20.69  0.00  0.1334 4.3412
20.60  0.00  0.1328 4.3434
0.586956521739130520.87  0.00  0.1328 4.3434
0.630434782608695720.60  0.00  0.1304 4.3525
0.652173913043478320.63  0.00  0.1304 4.3525
0.673913043478260920.60  0.00  0.1296 4.348
20.60  0.00  0.127 4.339
20.60  0.00  0.127 4.339
20.60  0.00  0.1221 4.3463
20.60  0.00  0.1221 4.3463
20.60  0.00  0.1182 4.3348
20.60  0.00  0.1182 4.3348
20.60  0.00  0.1211 4.3711
20.60  0.00  0.1211 4.3711
20.60  0.00  0.1218 4.3448
20.60  0.00  0.1249 4.3546
20.60  0.00  0.1249 4.3546
20.60  0.00  0.1334 4.3568
20.60  0.00  0.1334 4.3568
20.60  0.00  0.1299 4.3522
20.60  0.00  0.1299 4.3522
