----------------------------------
-         PROCESS STARTS         -
----------------------------------
2022-07-07 16:52:49.787025

Actual Temperature / SetPoint0 0
23.28  0.00 
23.35  0.00 
23.28  0.00 
23.25  0.00 
23.25  0.00 
23.35  0.00 
23.35  0.00 
23.25  0.00 
23.13  0.00 
23.28  0.00 
23.28  0.00 
23.16  0.00 
23.28  0.00 
23.25  0.00 
23.35  0.00 
23.35  0.00 
23.38  0.00 
23.25  0.00 
23.22  0.00 
23.38  0.00 
23.41  0.00 
23.25  0.00 
23.38  0.00 
23.44  0.00 
---------------------------------
-         PROCESS ENDED         -
---------------------------------
2022-07-07 16:53:02.482245
----------------------------------
-         PROCESS STARTS         -
----------------------------------
2022-07-07 17:25:31.388378

Actual Temperature / SetPoint0 0
23.50  0.00 
23.62  0.00 
23.59  0.00 
23.50  0.00 
23.47  0.00 
23.53  0.00 
23.53  0.00 
23.53  0.00 
23.50  0.00 
23.44  0.00 
23.44  0.00 
23.47  0.00 
23.62  0.00 
23.71  0.00 
23.53  0.00 
23.50  0.00 
23.50  0.00 
23.65  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.44  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.65  0.00 
23.56  0.00 
23.65  0.00 
23.53  0.00 
23.59  0.00 
23.44  0.00 
23.53  0.00 
23.53  0.00 
23.53  0.00 
23.53  0.00 
23.53  0.00 
23.53  0.00 
23.53  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.38  0.00 
23.56  0.00 
23.59  0.00 
23.56  0.00 
23.59  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
23.56  0.00 
